country,freedom index,score,GDP per capita,Social support,Healthy life expectancy,Generosity,generosity,perception of corruption
Afghanistan,27,3.203,0.35,0.517,0.361,0,0.158,0.025
Albania,68,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Algeria,34,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Andorra,94,,,,,,,
Angola,31,,,,,,,
Antigua and Barbuda,84,,,,,,,
Argentina,84,6.086,1.092,1.432,0.881,0.471,0.066,0.05
Armenia,51,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Australia,98,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Austria,93,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Azerbaijan,11,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Bahamas,91,,,,,,,
Bahrain,12,6.199,1.362,1.368,0.871,0.536,0.255,0.11
Bangladesh,41,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Barbados,96,,,,,,,
Belarus,19,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Belgium,96,6.923,1.356,1.504,0.986,0.473,0.16,0.21
Belize,86,,,,,,,
Benin,79,,,,,,,
Bhutan,59,,,,,,,
Bolivia,67,,,,,,,
Bosnia and Herzegovina,53,,,,,,,
Botswana,72,,,,,,,
Brazil,75,,,,,,,
Brunei,29,,,,,,,
Bulgaria,80,,,,,,,
Burkina Faso,60,,,,,,,
Burundi,14,,,,,,,
Cabo Verde,90,,,,,,,
Cambodia,26,,,,,,,
Cameroon,19,,,,,,,
Canada,99,,,,,,,
Central African Republic,9,,,,,,,
Chad,17,,,,,,,
Chile,94,,,,,,,
China,11,,,,,,,
Colombia,66,,,,,,,
Comoros,50,,,,,,,
Congo (Brazzaville),21,,,,,,,
Congo (Kinshasa),15,,,,,,,
Costa Rica,91,,,,,,,
Cote d'Ivoire,51,,,,,,,
Crimea,8,,,,,,,
Croatia,85,,,,,,,
Cuba,14,,,,,,,
Cyprus,94,,,,,,,
Czech Republic,91,,,,,,,
Denmark,97,,,,,,,
Djibouti,26,,,,,,,
Dominica,93,,,,,,,
Dominican Republic,67,,,,,,,
Ecuador,63,,,,,,,
Egypt,22,,,,,,,
El Salvador,67,,,,,,,
Equatorial Guinea,6,,,,,,,
Eritrea,2,,,,,,,
Estonia,94,,,,,,,
Eswatini,16,,,,,,,
Ethiopia,19,,,,,,,
Fiji,61,,,,,,,
Finland,100,,,,,,,
France,90,,,,,,,
Gabon,23,,,,,,,
Gaza Strip,11,,,,,,,
Georgia,63,,,,,,,
Germany,94,,,,,,,
Ghana,83,,,,,,,
Greece,87,,,,,,,
Grenada,89,,,,,,,
Guatemala,53,,,,,,,
